Longitude	Latitude
-179.984	-16.76
-179.971	51.307
-179.513	-21.696
-179.0	-18.0
-179.0	-15.0
-178.55	50.73
-178.5	-20.4
-178.413	-18.039
-178.4	-30.8
-178.252	-14.385
-178.111	-18.178
-178.095	-30.805
-177.886	-29.208
-177.725	-29.977
-177.657	-28.427
-177.632	51.564
-177.514	-25.996
-177.5	-29.0
-177.36	-30.68
-177.2	51.4
-177.0	-30.0
-177.0	-29.2
-177.0	-28.5
-177.0	-21.5
-176.847	51.478
-176.819	-28.886
-176.772	-22.101
-176.6	-24.8
-176.5	-19.5
-176.367	-28.117
-176.34	-29.539
-176.238	-28.993
-176.0	-19.5
-175.9	-22.878
-175.864	-24.133
-175.73	-21.17
-175.7	-28.3
-175.629	51.292
-175.5	-28.0
-175.45	58.427
-175.406	-25.856
-175.167	-21.167
-175.119	-24.894
-175.0	-20.0
-174.776	51.52
-174.659	-23.046
-174.504	52.327
-174.5	-18.5
-174.5	51.5
-174.345	-19.8
-174.123	-20.187
-174.0	-21.0
-174.0	-20.0
-173.529	-15.199
-173.5	-19.5
-173.085	-14.96
-173.0	-27.5
-173.0	-15.5
-172.515	-18.352
-172.467	-16.265
-172.225	-17.94
-172.095	-16.696
-172.095	-15.489
-172.033	-16.592
-171.836	52.05
-171.708	52.171
-171.02	51.45
-170.0	51.0
-170.0	53.3
-169.73	52.59
-169.399	52.214
-169.12	54.79
-168.54	52.47
-168.5	52.2
-168.0	-1.0
-167.55	53.03
-167.5	52.4
-166.4	53.6
-165.2	55.0
-164.65	54.52
-162.832	53.492
-161.0	54.5
-161.0	55.0
-158.54	61.56
-158.37	55.48
-157.0	20.7
-156.835	55.543
-156.0	19.7
-155.935	19.878
-155.6	55.8
-155.5	19.0
-155.5	20.5
-155.454	19.43
-155.098	19.936
-155.083	19.362
-155.033	19.11
-155.033	19.451
-155.032	19.37
-155.0	19.0
-155.0	57.5
-153.9	56.85
-153.9	57.5
-153.48	57.09
-153.452	59.658
-153.0	57.0
-152.0	57.0
-152.0	58.0
-149.937	61.34
-149.9	-17.9
-149.073	56.046
-149.0	60.5
-148.565	65.17
-148.08	64.66
-147.912	63.514
-147.648	61.017
-147.444	63.517
-147.286	61.031
-146.2	61.0
-146.0	60.0
-143.27	58.586
-142.786	58.679
-142.747	57.262
-142.0	60.0
-141.671	60.691
-140.0	60.0
-137.5	58.6
-136.96	58.306
-136.677	59.852
-136.665	58.37
