Longitude	Latitude
-123.438	38.962
-123.164	45.226
-123.144	38.831
-123.133	38.833
-122.9	40.75
-122.889	40.752
-122.451	41.559
-122.344	38.276
-122.342	39.678
-122.335	39.686
-122.333	39.677
-122.331	39.668
-122.216	39.288
-122.205	39.29
-122.177	40.39
-122.171	40.086
-122.154	38.3
-122.128	39.466
-122.128	39.549
-122.122	39.623
-122.114	39.626
-122.069	38.912
-122.057	38.914
-122.01	38.892
-121.999	38.894
-121.98	39.633
-121.972	38.751
-121.961	38.752
-121.686	38.927
-121.628	39.166
-121.618	39.177
-121.616	39.168
-121.597	38.903
-121.522	39.152
-121.463	42.305
-121.446	42.3
-121.439	42.299
-121.377	41.854
-121.364	41.856
-121.199	38.156
-121.144	42.433
-121.112	36.243
-121.108	42.264
-120.976	37.541
-120.922	35.881
-120.922	35.892
-120.92	35.883
-120.91	35.89
-120.898	35.674
-120.741	42.998
-120.727	43.0
-120.727	43.004
-120.685	43.004
-120.619	38.251
-120.583	38.87
-120.573	38.881
-120.571	38.872
-120.567	38.882
-120.561	38.882
-120.464	43.62
-120.462	43.649
-120.453	43.641
-120.436	43.643
-120.394	44.206
-120.235	37.078
-120.197	37.024
-120.161	36.894
-120.158	36.784
-120.146	36.786
-120.13	36.786
-120.128	35.961
-120.031	39.253
-119.984	36.834
-119.98	36.825
-119.973	36.827
-119.961	36.828
-119.944	36.824
-119.941	36.815
-119.914	37.394
-119.489	43.541
-119.409	35.53
-119.305	36.489
-119.281	37.148
-119.275	35.73
-119.275	37.145
-119.269	37.149
-119.241	37.018
-119.207	35.069
-119.174	35.588
-119.173	35.579
-119.011	35.039
-119.004	35.036
-118.999	35.04
-118.997	35.035
-118.975	35.043
-118.917	35.07
-118.916	35.06
-118.574	46.288
-118.476	46.16
-118.461	46.161
-118.456	46.162
-118.274	41.873
-116.758	34.263
-115.472	33.189
-111.03	32.277
-111.018	32.276
-110.88	33.416
-110.866	33.419
-110.86	33.415
-110.854	33.417
-109.973	34.253
-109.629	30.493
-107.94	36.703
-107.316	24.382
-107.073	26.821
-106.905	33.735
-106.902	34.215
-106.7	37.766
-106.227	41.071
-105.633	36.589
-105.45	39.68
-105.443	39.676
-105.438	39.68
-105.426	39.678
-104.998	33.907
-104.998	33.911
-104.986	33.905
-104.479	38.256
-103.883	18.959
-103.57	25.593
-103.559	25.591
-103.236	31.806
-103.047	36.508
-103.031	36.516
-102.384	20.073
-102.378	20.071
-101.935	32.155
-101.455	26.877
-101.454	26.89
-101.178	20.578
-101.174	18.238
-101.172	20.578
-101.172	20.581
-101.169	20.579
-101.165	18.239
-100.825	20.665
-100.803	30.249
-100.796	30.249
-100.786	30.252
-100.775	18.572
-100.502	17.755
-100.501	17.746
-100.493	17.757
-100.366	18.771
-100.3	25.721
-99.985	16.982
-99.98	16.977
-99.633	17.225
-99.395	40.712
-98.989	19.581
-98.52	20.636
-98.514	20.639
-98.39	16.416
-98.385	16.427
-98.151	22.714
-97.764	39.547
-97.764	39.548
-97.753	39.548
-97.592	19.366
-97.578	19.195
-97.421	39.761
-97.42	19.717
-97.417	20.261
-97.328	40.059
-97.154	40.092
-97.152	40.083
-97.142	40.093
-97.14	40.084
-96.913	15.974
-96.705	18.588
-96.699	18.592
-96.697	18.582
-96.692	18.59
-96.68	40.047
-96.677	40.041
-96.549	19.183
-96.528	40.505
-96.452	38.141
-96.331	41.41
-96.286	40.058
-96.276	40.427
-96.274	40.06
