Longitude	Latitude
-173.454	-13.8358
-170.682	-14.3155
-159.554	22.0615
-159.539	22.064
-159.53	22.0625
-159.5	22.1481
-159.489	22.1409
-159.327	63.2944
-157.97	21.494
-157.952	21.537
-157.92	21.361
-157.847	21.3538
-157.782	21.3825
-157.366	59.4398
-157.137	64.9787
-156.216	62.2333
-155.457	19.6228
-155.441	19.6689
-155.099	19.7397
-152.61	61.2749
-151.454	59.9306
-151.02	64.2769
-150.891	60.3357
-149.976	63.9124
-149.932	63.1691
-149.853	-17.5254
-149.768	60.8522
-149.464	61.7914
-148.177	64.9771
-147.426	64.8145
-147.248	64.6959
-147.024	64.5052
-147.016	62.4474
-145.994	60.8752
-142.302	65.4351
-135.3	59.6028
-134.805	67.9345
-134.446	58.1993
-132.089	61.4228
-126.67	50.9015
-125.033	54.1789
-124.075	45.1703
-124.001	40.2055
-123.769	42.8402
-123.524	44.6568
-123.249	58.2924
-123.101	39.7967
-123.094	45.0135
-122.912	46.9122
-122.912	47.091
-122.853	49.5023
-122.829	38.9788
-122.811	53.8526
-122.774	47.0143
-122.706	46.5287
-122.59	39.6057
-122.478	38.9397
-122.458	39.6236
-122.426	47.0502
-122.284	38.6065
-122.188	46.4439
-122.149	47.8554
-122.012	47.6776
-121.84	48.038
-121.562	38.7256
-121.527	37.4251
-121.499	45.7332
-121.38	39.2816
-121.357	37.9526
-121.122	37.9118
-121.099	39.494
-120.825	38.804
-120.733	38.8497
-120.675	37.6911
-120.672	43.819
-120.663	37.544
-120.452	37.384
-120.297	44.5387
-120.058	35.7787
-120.005	41.2971
-120.002	45.5728
-119.707	35.1755
-119.241	50.3579
-119.197	39.6308
-119.043	35.0839
-119.012	34.3071
-118.997	50.1296
-118.4	33.8689
-118.292	39.3177
-118.273	33.8989
-118.244	49.8461
-118.115	34.0486
-118.094	34.0959
-117.494	56.4607
-117.246	34.2005
-117.219	40.8331
-117.212	35.4299
-116.954	44.0047
-116.876	33.0191
-116.759	36.3928
-116.395	31.3876
-116.123	45.5453
-115.994	60.5419
-115.892	31.4717
-115.879	34.2795
-115.508	35.5295
-114.841	55.4087
-114.424	50.8437
-113.753	32.8796
-113.747	53.6451
-113.736	37.2699
-113.627	33.7958
-113.587	34.1148
-112.773	52.8501
-112.735	36.2538
-112.61	46.3871
-112.602	35.7791
-111.949	33.0264
-111.924	41.0624
-111.809	25.3544
-111.62	34.2375
-111.562	25.4554
-111.414	29.2882
-110.799	24.417
-110.096	23.6058
-110.047	23.595
-109.813	23.0797
-109.647	51.2434
-108.093	35.3824
-107.661	28.4836
-107.535	24.926
-107.522	48.0263
-107.422	26.6059
-107.039	24.4662
-106.391	31.7556
-106.211	40.5341
-106.048	28.6222
-106.02	31.4889
-105.8	33.1369
-105.666	45.2971
-105.275	34.8628
-105.236	23.7218
-105.143	38.0024
-105.091	41.6853
-104.97	40.3845
-104.964	23.6723
-104.729	47.7159
-104.497	21.5773
-104.281	53.3778
-103.836	51.8657
-103.43	19.4811
-103.421	25.5033
-103.358	53.536
-103.182	20.1758
-102.791	29.7956
-102.778	19.2674
-102.409	29.9758
-102.223	31.9611
-102.052	18.0925
-101.877	25.8792
-101.772	28.3812
-101.738	41.0922
-101.639	43.9886
-101.306	48.3406
-100.932	21.818
-100.889	36.0084
-100.833	18.2802
-100.733	28.6536
-100.55	25.5767
-100.417	24.3112
-100.312	28.4909
-100.301	17.2579
-100.238	33.9839
-99.9696	25.0375
-99.9306	33.7394
-99.8947	28.8035
-99.8764	29.8942
-99.8429	25.6963
-99.7926	23.273
-99.7646	41.6111
-99.7422	17.9374
-99.5452	21.4878
-99.4732	43.5376
-99.4494	33.6977
-99.3953	25.5052
-99.3783	30.6009
-99.3162	32.7318
-99.3069	30.0496
-99.2878	26.7222
-99.25	19.5
-99.2196	17.2264
-99.2055	27.6304
-99.1635	18.9389
-99.122	19.4762
-99.0399	18.0065
-99.0036	19.9433
-98.8879	28.899
-98.8272	18.0078
-98.7832	29.9247
-98.7502	22.1168
-98.6949	31.7526
-98.6645	30.2434
-98.6578	18.8116
-98.6544	27.8839
-98.5972	21.6683
-98.4943	21.8462
-98.4317	21.7845
-98.4317	30.7598
-98.4104	16.8657
-98.4013	22.1952
-98.3901	29.4084
-98.3593	29.5326
-98.3441	19.0255
-98.3212	26.56
-98.308	23.9167
-98.249	51.8455
-98.1744	19.0724
-98.1487	21.3597
-98.0111	30.6607
-97.9994	48.162
-97.9863	34.1936
-97.9613	36.8932
-97.9324	29.8672
-97.8506	20.9316
-97.8369	29.6932
-97.7891	49.8757
-97.6983	41.7158
-97.6654	27.4406
-97.65	21.3534
-97.5977	48.5643
-97.5615	20.7098
-97.4818	29.9969
-97.4788	29.5364
-97.4674	32.5172
-97.3047	33.4497
-97.2966	32.4344
-97.291	31.0405
-97.2192	48.6788
-97.211	48.7569
-97.1989	49.6165
-97.1657	32.8366
-97.13	32.6528
-97.1147	37.6634
-97.1003	28.9938
-97.0958	40.7146
-97.089	18.8378
-97.065	28.89
-97.0308	48.2491
-96.9889	31.4835
-96.9701	33.1445
-96.9696	16.4489
-96.9531	49.8493
-96.95	32.0697
-96.91	38.8297
-96.8936	47.0035
-96.8541	52.2558
-96.8425	28.5802
-96.7984	19.5718
-96.7845	29.6044
-96.7656	18.1132
-96.5636	16.0814
-96.5166	30.8453
-96.4275	16.8247
-96.3291	38.5104
-96.3204	37.8284
-96.279	30.3126
-96.1058	30.9086
-96.1011	36.3581
-96.0297	29.6511
-96.0178	18.4042
-95.9635	37.1562
-95.9628	29.4697
-95.9064	47.3407
-95.8087	29.578
-95.7347	32.0475
-95.5367	30.8574
-95.5153	29.6701
-95.4957	30.8786
-95.4484	35.354
-95.4473	29.4687
-95.4192	31.6443
-95.4115	36.7439
-95.3809	45.9476
-95.3426	29.8372
-95.3388	30.1135
-95.3112	18.5257
-95.2917	29.7836
-95.2737	30.2009
-95.2617	40.5924
-95.2398	36.7091
-95.2382	40.4342
-95.2258	18.0128
-95.1282	32.6703
-95.0101	38.3888
